slug,name,action,entity_type,postcode,city,local_site
gp,@GP,unflag,company,26120,Montelier,1
dot-dot,#dot:dot,keep,company,38100,Grenoble,
2is-inbound-intelligence-solutions,2IS (Inbound Intelligence Solutions),unflag,company,74650,Chavanod,1
3d-oxides,3D-Oxides,unflag,company,01630,Saint-Genis Pouilly,1
3l-optronics,3L-OPTRONICS,unflag,company,13013,Marseille,1
4cad-group-astree-software,4CAD Group – Astrée Software,unflag,corporate,44340,Bouguenais,1
ablatom,Ablatom,unflag,company,69622,Villeurbanne,1
acae,acaé,unflag,company,67200,Strasbourg,1
acoudesign,AcouDesign,unflag,company,63100,Clermont-Ferrand,1
acsiel-alliance-electronique,ACSIEL Alliance Électronique,unflag,ecosystem_support,75009,Paris,1
actemium-maintenance-dauphine,Actemium Maintenance Dauphiné,keep,company,38130,Échirolles,
activation,Activation,unflag,company,69680,Chassieu,1
acute-design,Acute Design,keep,company,38000,Grenoble,
adentis,Adentis,keep,company,38000,Grenoble,
adobis-group,Adobis Group,keep,company,38330,Montbonnot-Saint-Martin,
aedvices,AEDVICES,keep,company,38430,Moirans,
aem-mu-test,AEM Mu-TEST,unflag,company,42650,Saint-Jean-Bonnefonds,1
agiga,AGIGA,unflag,company,69400,Villefranche-Sur-Saône,1
aginov,AGINOV,unflag,company,69100,Villeurbanne,1
agori,AGORI,keep,company,38170,Seyssinet Pariset,
aii-automatisme-et-informatique-industrielle,AII – Automatisme et Informatique Industrielle,keep,company,38330,Montbonnot Saint Martin,
aiotrust,AIoTrust,unflag,company,69100,Villeurbanne,1
aitenders,AITENDERS,unflag,company,42000,Saint-Étienne,1
aj-invest-consulting,AJ Invest & Consulting,unflag,company,74290,Veyrier Du Lac,1
akila-mokhtari,Akila MOKHTARI,reject,,,,
akram-idani,Akram Idani,reject,,,,
alberture,Alberture,unflag,company,69700,Givors,1
algosecure,AlgoSecure,unflag,company,69003,Lyon,1
alp-valley,Alp Valley,unflag,company,73190,Challes-Les-Eaux,1
altimet,Altimet,unflag,company,74200,Marin,1
altyor,Altyor,unflag,company,45590,Saint-Cyr-En-Val,1
alzheimer,Alzheimer,reject,,,,
ambition,Ambition,reject,,,,
amphi-c001-phyllis-nicolson,Amphi C001-Phyllis Nicolson,reject,,,,
amphi-h,Amphi H,reject,,,,
andreas-meyer,Andreas Meyer,reject,,,,
andyamo,Andyamo,keep,company,38000,Grenoble,
apex-numeris,Apex Numeris,unflag,company,69200,Venissieux,1
aprex-solutions,APREX Solutions,unflag,company,54000,Nancy,1
arc-en-ciel-serigraphie,Arc en Ciel Sérigraphie,unflag,company,42630,Régny,1
